"Номер","Дата измерения","TypeOfSample","Matrix","MatrixDescription","AnalysisProgram","AnalysisProgramDescription","AnalysisMode","TaskNumber","TaskName","MaterialName","ID1","ID2","ID3","ID4","ID5","ID6","Comment","Average"
"94489","16 янв. 2018 г., 19:44","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-153-2","ЭИ417","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94490","16 янв. 2018 г., 20:01","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-152-3","ЭИ417","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94491","16 янв. 2018 г., 20:06","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-151-К","10Х23Н18","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94492","16 янв. 2018 г., 20:13","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-152-5","ЭИ417","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94493","16 янв. 2018 г., 20:22","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-153-3","ЭИ417","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94494","16 янв. 2018 г., 21:50","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-153-4","ЭИ417","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94495","16 янв. 2018 г., 22:06","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-153-5","ЭИ417","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94496","16 янв. 2018 г., 22:09","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ5","--","--","--","--","--","--","Z"
"94497","16 янв. 2018 г., 23:48","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-152-К","ЭИ417","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94498","16 янв. 2018 г., 23:54","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-153-К","ЭИ417","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94499","17 янв. 2018 г., 22:23","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","ЛГ41А","--","--","--","--","--","--","Z"
"94500","17 янв. 2018 г., 22:27","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е183-02-1-1Д","ЭП479Ш","ТЕМПЛЕТ","ЦСЭМ","Волкова Е.П.","--","--","Z"
"94501","17 янв. 2018 г., 22:30","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е183-02-1-2Г","ЭП479Ш","ТЕМПЛЕТ","ЦСЭМ","Волкова Е.П.","--","--","Z"
"94502","18 янв. 2018 г., 12:58","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RE12/G","--","--","--","--","--","--","Z"
"94503","18 янв. 2018 г., 13:00","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RG13/237","--","--","--","--","--","--","Z"
"94504","18 янв. 2018 г., 13:02","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RG16/149","--","--","--","--","--","--","Z"
"94505","18 янв. 2018 г., 13:03","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RH18/38q","--","--","--","--","--","--","Z"
"94506","18 янв. 2018 г., 13:05","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RH33/9y","--","--","--","--","--","--","Z"
"94507","18 янв. 2018 г., 13:06","R","FE","--","Recalibration","Recalibration of Fe base","0","000","Recalibration","--","RN19/39c","--","--","--","--","--","--","Z"
"94508","18 янв. 2018 г., 13:08","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","241","--","--","--","--","--","--","Z"
"94509","18 янв. 2018 г., 13:10","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","6F","--","--","--","--","--","--","Z"
"94510","18 янв. 2018 г., 13:11","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","RNi10/10","--","--","--","--","--","--","Z"
"94511","18 янв. 2018 г., 13:15","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","RNi12/36","--","--","--","--","--","--","Z"
"94512","18 янв. 2018 г., 13:16","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","RNi13/32","--","--","--","--","--","--","Z"
"94513","18 янв. 2018 г., 13:18","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","RNi14/29","--","--","--","--","--","--","Z"
"94514","18 янв. 2018 г., 13:19","R","NI","--","Recalibration","Recalibration of Ni base","0","000","Recalibration","--","RNi15/36","--","--","--","--","--","--","Z"
"94515","18 янв. 2018 г., 19:51","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","ЛГ41А","--","--","--","--","--","--","Z"
"94516","18 янв. 2018 г., 19:54","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е181-04(1) 1Д","ЭП479-Ш","ТЕМПЛЕТ","ЦСЭМ","Куницына И.А.","--","--","Z"
"94517","19 янв. 2018 г., 18:34","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","512","--","--","--","--","--","--","Z"
"94518","19 янв. 2018 г., 18:37","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-1","ЭИ654","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94519","19 янв. 2018 г., 19:22","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-2","ЭИ654","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94520","19 янв. 2018 г., 20:19","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-3","ЭИ654","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94521","19 янв. 2018 г., 21:02","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-4","ЭИ654","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94522","19 янв. 2018 г., 21:46","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-5","ЭИ654","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94523","19 янв. 2018 г., 22:17","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","512","--","--","--","--","--","--","Z"
"94524","19 янв. 2018 г., 22:27","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-6","ЭИ654","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94525","19 янв. 2018 г., 22:58","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-7","ЭИ654","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94526","19 янв. 2018 г., 23:39","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-8","ЭИ654","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94527","20 янв. 2018 г., 0:18","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-9","ЭИ654","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94528","20 янв. 2018 г., 0:28","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-10","ЭИ654","ТАБЛЕТКА","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94529","20 янв. 2018 г., 0:37","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-11","ЭИ654","ТАБЛЕТКА","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94530","20 янв. 2018 г., 1:13","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-12","ЭИ654","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94531","20 янв. 2018 г., 1:44","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-169-К","ЭИ654","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
"94532","23 янв. 2018 г., 15:07","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","3И-17-545-К","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94533","23 янв. 2018 г., 15:10","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","7181","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94534","23 янв. 2018 г., 15:12","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","7186","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94535","23 янв. 2018 г., 15:13","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","7504","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94536","23 янв. 2018 г., 15:15","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","387","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94537","23 янв. 2018 г., 15:17","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","407","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94538","23 янв. 2018 г., 15:30","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","2328","NIMO","КУСОК","ЦСЭМ","Коршунова С.А.","--","--","Z"
"94539","24 янв. 2018 г., 18:21","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94540","24 янв. 2018 г., 18:22","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-224-1","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94541","24 янв. 2018 г., 18:53","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-224-2","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94542","24 янв. 2018 г., 19:31","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-224-3","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94543","24 янв. 2018 г., 20:57","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-225-1","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94544","24 янв. 2018 г., 21:24","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-225-2","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94545","24 янв. 2018 г., 22:12","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-225-3","ПРОМЫВОЧНАЯ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94546","24 янв. 2018 г., 22:14","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94547","24 янв. 2018 г., 23:11","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-224-К","ПРОМЫВОЧНАЯ","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94548","24 янв. 2018 г., 23:14","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-225-К","ПРОМЫВОЧНАЯ","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
