"Номер","Дата измерения","TypeOfSample","Matrix","MatrixDescription","AnalysisProgram","AnalysisProgramDescription","AnalysisMode","TaskNumber","TaskName","MaterialName","ID1","ID2","ID3","ID4","ID5","ID6","Comment","Average"
"94589","25 янв. 2018 г., 13:17","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-234-2","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94590","25 янв. 2018 г., 13:35","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-5","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94591","25 янв. 2018 г., 13:48","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-6","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94592","25 янв. 2018 г., 13:55","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-234-3","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94593","25 янв. 2018 г., 13:58","T","NI","--","NI8","Ni Global Program","2","110","Типовая рекалиб. проба","--","720","--","--","--","--","--","--","Z"
"94594","25 янв. 2018 г., 14:03","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","В181-11","ЭП109-вд","ТЕМПЛЕТ","ЦСЭМ","Захарова А.Г.","--","--","Z"
"94595","25 янв. 2018 г., 14:05","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","В181-12","ЭП109-вд","ТЕМПЛЕТ","ЦСЭМ","Захарова А.Г.","--","--","Z"
"94596","25 янв. 2018 г., 14:16","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-1","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94597","25 янв. 2018 г., 14:22","T","NI","--","NI8","Ni Global Program","2","110","Типовая рекалиб. проба","--","720","--","--","--","--","--","--","Z"
"94598","25 янв. 2018 г., 14:24","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-234-4","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94599","25 янв. 2018 г., 14:27","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","В181-11","ЭП109-вд","ТЕМПЛЕТ","ЦСЭМ -ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94600","25 янв. 2018 г., 14:32","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","В181-12","ЭП109-вд","ТЕМПЛЕТ","ЦСЭМ -ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94601","25 янв. 2018 г., 15:09","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-234-5","20Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94602","25 янв. 2018 г., 15:41","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-К","5ХНМ","УС.КОНУС","ЦЭМ","Захарова А.Г.","--","--","Z"
"94603","25 янв. 2018 г., 15:44","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-К","СП33","УС.КОНУС","ЦЭМ","Захарова А.Г.","--","--","Z"
"94604","25 янв. 2018 г., 15:46","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-2","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94605","25 янв. 2018 г., 15:58","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","РГ30 А","--","--","--","--","--","--","Z"
"94606","25 янв. 2018 г., 16:04","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-К","СП33","УС.КОНУС","ЦЭМ-ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94607","25 янв. 2018 г., 16:13","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","УГ1И","СП33","УС.КОНУС","ЦЭМ-ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94608","25 янв. 2018 г., 16:15","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","УГ92","СП33","УС.КОНУС","ЦЭМ-ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94609","25 янв. 2018 г., 16:22","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-4","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94610","25 янв. 2018 г., 17:00","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-4","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Хохлова И.Э.","--","--","Z"
"94611","25 янв. 2018 г., 17:17","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-5","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94612","25 янв. 2018 г., 17:59","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-235-К","12Х2Н4А","УС.КОНУС","ЦЭМ","Хохлова И.Э.","--","--","Z"
"94613","25 янв. 2018 г., 22:23","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94614","25 янв. 2018 г., 22:24","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-1","12Х2Н4МА","УС.КОНУС","ЦЭМ","Хохлова И.Э.","--","--","Z"
"94615","25 янв. 2018 г., 22:40","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-2","12Х2Н4МА","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94616","25 янв. 2018 г., 23:12","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-3","12Х2Н4МА","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94617","25 янв. 2018 г., 23:31","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-4","12Х2Н4МА","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94618","25 янв. 2018 г., 23:43","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-1","45ХНМ","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94619","25 янв. 2018 г., 23:52","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-5","12Х2Н4МА","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94620","26 янв. 2018 г., 0:06","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-2","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94621","26 янв. 2018 г., 0:17","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-237-К","12Х2Н4А","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94622","26 янв. 2018 г., 0:29","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-3","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94623","26 янв. 2018 г., 0:54","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-4","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94624","26 янв. 2018 г., 0:59","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-1","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94625","26 янв. 2018 г., 1:11","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-5","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94626","26 янв. 2018 г., 1:18","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-2","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94627","26 янв. 2018 г., 1:32","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-3","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94628","26 янв. 2018 г., 1:34","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-238-К","45ХНМ","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94629","26 янв. 2018 г., 2:09","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-4","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94630","26 янв. 2018 г., 2:31","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-5","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94631","26 янв. 2018 г., 2:49","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-6","45ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94632","26 янв. 2018 г., 2:56","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94633","26 янв. 2018 г., 3:18","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94634","26 янв. 2018 г., 3:57","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94635","26 янв. 2018 г., 4:39","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94636","26 янв. 2018 г., 4:58","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Волкова Е.П.","--","--","Z"
"94637","26 янв. 2018 г., 8:12","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-239-К","5ХНМ","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94638","26 янв. 2018 г., 8:14","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-240-К","5ХНМ","УС.КОНУС","ЦЭМ","Волкова Е.П.","--","--","Z"
"94639","26 янв. 2018 г., 15:51","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","ЛГ41А","--","--","--","--","--","--","Z"
"94640","26 янв. 2018 г., 15:53","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ 4","--","--","--","--","--","--","Z"
"94641","26 янв. 2018 г., 15:57","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е181-04-1-1Д""П""","ЭП479-Ш","ТЕМПЛЕТ","ЦСЭМ","Киселёва Л.Е.","--","--","Z"
"94642","26 янв. 2018 г., 16:03","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-04-1","ВНС-16Ш","ТЕМПЛЕТ","ЦСЭМ","Киселёва Л.Е.","--","--","Z"
"94643","26 янв. 2018 г., 16:05","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-06-(1)","ВНС-16Ш","ТЕМПЛЕТ","ЦСЭМ","Киселёва Л.Е.","--","--","Z"
"94644","26 янв. 2018 г., 16:07","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","Р12 535","--","--","--","--","--","--","Z"
"94645","26 янв. 2018 г., 16:09","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е182-09(1)","ЭИ961-Ш","ТЕМПЛЕТ","ЦСЭМ","Киселёва Л.Е.","--","--","Z"
"94646","26 янв. 2018 г., 16:11","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е182-08(1)","ЭИ961-Ш","ТЕМПЛЕТ","ЦСЭМ","Киселёва Л.Е.","--","--","Z"
"94647","30 янв. 2018 г., 2:33","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ9","--","--","--","--","--","--","Z"
"94648","30 янв. 2018 г., 2:35","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-288-1","ЭП 310","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94649","30 янв. 2018 г., 3:12","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-288-2","ЭП 310","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94650","30 янв. 2018 г., 4:12","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-288-3","ЭП 310","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94651","30 янв. 2018 г., 4:53","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-288-4","ЭП 310","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94652","30 янв. 2018 г., 5:44","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-288-5","ЭП 310","УС.КОНУС","ЦЭМ","Ерина С.Н.","--","--","Z"
"94653","30 янв. 2018 г., 13:19","P","NI","--","NI1RUSPOLIMET","NI99-Pure Nickel","2","001","Routine Analysis","--","П6136","Н-1У","НИКЕЛЬ","Г,МОСКВА","Богатова Е.М.","--","--","Z"
"94654","30 янв. 2018 г., 16:53","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","512","--","--","--","--","--","--","Z"
"94655","30 янв. 2018 г., 16:55","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е182-11(1)Д","ЭИ654-Ш","--","ТЕМПЛЕТ","Богатова Е.М.","--","--","Z"
"94656","30 янв. 2018 г., 17:00","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО ЛГ35Д","--","--","Г,МОСКВА","Богатова Е.М.","--","--","Z"
"94657","30 янв. 2018 г., 17:04","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО 2ФМ7","--","--","Г,МОСКВА","Богатова Е.М.","--","--","Z"
"94658","30 янв. 2018 г., 17:29","T","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","110","Типовая рекалиб. проба","--","15-03","--","--","--","--","--","--","Z"
"94659","30 янв. 2018 г., 17:33","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-17-2-1718 №1","CPW-S-5643","ОБРАЗЕЦ","М иТОМ","Фомичева Е.Н.","--","--","Z"
"94660","30 янв. 2018 г., 17:36","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-17-2-1718 №2","CPW-S-5643","ОБРАЗЕЦ","М иТОМ","Фомичева Е.Н.","--","--","Z"
"94661","30 янв. 2018 г., 22:11","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ 4","--","--","--","--","--","--","Z"
"94662","30 янв. 2018 г., 22:13","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-08-1","ВНС16-Ш","ТЕМПЛЕТ","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94663","30 янв. 2018 г., 22:17","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-09-1","ВНС16-Ш","ТЕМПЛЕТ","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94664","31 янв. 2018 г., 5:26","T","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","110","Типовая рекалиб. проба","--","15-03","--","--","--","--","--","--","Z"
"94665","31 янв. 2018 г., 5:29","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-1","CPW-S-5643","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94666","31 янв. 2018 г., 6:06","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-2","CPW-S-5643","УС.КОНУС","ЦЭМ","Захарова А.Г.","--","--","Z"
"94667","31 янв. 2018 г., 6:38","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-3","CPW-S-5643","УС.КОНУС","ЦЭМ","Захарова А.Г.","--","--","Z"
"94668","31 янв. 2018 г., 7:06","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-1","CPW-S-5643","ТАБЛЕТКА","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94669","31 янв. 2018 г., 7:34","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-2","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94670","31 янв. 2018 г., 7:59","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-4","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94671","31 янв. 2018 г., 8:14","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-3","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94672","31 янв. 2018 г., 8:26","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-5","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94673","31 янв. 2018 г., 8:52","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-4","CPW-S-5643","ТАБЛЕТКА","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94674","31 янв. 2018 г., 9:04","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-300-К","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94675","31 янв. 2018 г., 9:38","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-5","CPW-S-5643","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94676","31 янв. 2018 г., 10:00","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-6","CPW-S-5643","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94677","31 янв. 2018 г., 11:09","T","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","110","Типовая рекалиб. проба","--","15-03","--","--","--","--","--","--","Z"
"94678","31 янв. 2018 г., 11:50","P","FE","--","FE3-1","CRNI STEEL RUSPOLYMET","2","001","Routine Analysis","--","6-18-2-301-К","CPW-S-5643","УС.КОНУС","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94679","1 февр. 2018 г., 7:33","P","FE","--","FE 9","Cast Iron","2","001","Routine Analysis","--","ЗИ18-01-1","ЧУГУН","УС.КОНУС","ЦСЭМ","Богатова Е.М.","--","--","Z"
"94680","1 февр. 2018 г., 17:52","P","NI","--","NI1RUSPOLIMET","NI99-Pure Nickel","2","001","Routine Analysis","--","6135","Н-1У","ПЛАСТИНА","ОТК БВП","Хохлова И.Э.","--","--","Z"
"94681","2 февр. 2018 г., 1:35","P","NI","--","NI2","NiCrFe - Inconel","2","001","Routine Analysis","--","3-18-26-К","ОБЖИГОВАЯ","УС.КОНУС","ЦЭМ","Буканова Т.М.","--","--","Z"
"94682","2 февр. 2018 г., 9:57","T","FE","--","FE 4","NiCr Steel, Incoloy 800","2","110","Типовая рекалиб. проба","--","ЛГ63","--","--","--","--","--","--","Z"
"94683","2 февр. 2018 г., 10:02","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-325-1","ЭИ696","ТАБЛЕТКА","ЦЭМ","Солодова Н.А.","--","--","Z"
"94684","2 февр. 2018 г., 10:15","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-325-2","ЭИ696","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94685","2 февр. 2018 г., 10:36","T","NI","--","NI8","Ni Global Program","2","110","Типовая рекалиб. проба","--","6252L","--","--","--","--","--","--","Z"
"94686","2 февр. 2018 г., 10:42","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-325-3","ЭИ696","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94687","2 февр. 2018 г., 10:47","P","NI","--","NI2","NiCrFe - Inconel","2","110","Типовая рекалиб. проба","--","6252 L","--","--","--","--","--","--","Z"
"94688","2 февр. 2018 г., 11:47","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-325-4","'ЭИ696А","ТАБЛЕТКА","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94689","2 февр. 2018 г., 12:25","T","FE","--","FE 4","NiCr Steel, Incoloy 800","2","110","Типовая рекалиб. проба","--","ЛГ59","--","--","--","--","--","--","Z"
"94690","2 февр. 2018 г., 12:27","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-326-1","ЭИ703","ТАБЛЕТКА","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94691","2 февр. 2018 г., 12:35","T","FE","--","FE 4","NiCr Steel, Incoloy 800","2","110","Типовая рекалиб. проба","--","ЛГ63","--","--","--","--","--","--","Z"
"94692","2 февр. 2018 г., 12:37","T","FE","--","FE 4","NiCr Steel, Incoloy 800","2","110","Типовая рекалиб. проба","--","ЛГ63","--","--","--","--","--","--","Z"
"94693","2 февр. 2018 г., 12:40","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-325-5","ЭИ696А","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94694","2 февр. 2018 г., 12:47","T","FE","--","FE 4","NiCr Steel, Incoloy 800","2","110","Типовая рекалиб. проба","--","ЛГ59","--","--","--","--","--","--","Z"
"94695","2 февр. 2018 г., 12:51","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-2","ЭИ703","ТАБЛЕТКА","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94696","2 февр. 2018 г., 13:23","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-3","ЭИ703","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94697","2 февр. 2018 г., 13:56","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-325-6","ЭИ696А","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94698","2 февр. 2018 г., 14:06","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-4","ЭИ703","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94699","2 февр. 2018 г., 14:15","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-325-7","ЭИ696А","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94700","2 февр. 2018 г., 14:24","T","NI","--","NI8","Ni Global Program","2","110","Типовая рекалиб. проба","--","НГ2Б","--","--","--","--","--","--","Z"
"94701","2 февр. 2018 г., 14:26","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","3-18-29-1","ЭИ437БУ","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94702","2 февр. 2018 г., 14:43","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-5","ЭИ703","ТАБЛЕТКА","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94703","2 февр. 2018 г., 14:48","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","ЛГ36Д","--","--","--","--","--","--","Z"
"94704","2 февр. 2018 г., 14:49","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","6-18-2-324-К","12Х18Н10Т","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94705","2 февр. 2018 г., 15:21","P","NI","--","NI8","Ni Global Program","2","001","Routine Analysis","--","3-18-29-2","ЭИ437БУ","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94706","2 февр. 2018 г., 15:24","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-325-К","ЭИ696А","УС.КОНУС","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94707","2 февр. 2018 г., 15:37","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-6","ЭИ703","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
"94708","2 февр. 2018 г., 15:44","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","Р12 535","--","--","--","--","--","--","Z"
"94709","2 февр. 2018 г., 15:45","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","Е183-05-1-1Д","ЭИ961-Ш","ТЕМПЛЕТ","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94710","2 февр. 2018 г., 15:51","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ 4","--","--","--","--","--","--","Z"
"94711","2 февр. 2018 г., 15:52","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-11-1-1Д","ЭП56Ш","ТЕМПЛЕТ","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94712","2 февр. 2018 г., 16:02","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","2ФМ 4","--","--","--","--","--","--","Z"
"94713","2 февр. 2018 г., 16:04","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е183-11-1-1Д","ЭП56-Ш","ТЕМПЛЕТ","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94714","2 февр. 2018 г., 16:20","P","NI","--","NI1RUSPOLIMET","NI99-Pure Nickel","2","001","Routine Analysis","--","6121","Н-1У","ПЛАСТИНА","ОТК БВП","Хохлова И.Э.","--","--","Z"
"94715","2 февр. 2018 г., 16:29","P","FE","--","FE 4","NiCr Steel, Incoloy 800","2","001","Routine Analysis","--","6-18-2-326-7","ЭИ703","УС.КОНУС","ЦЭМ","Стриканова Н.А.","--","--","Z"
